Income Grouping,Illinois Households,Illinois Families,Illinois Married-couple Households,Illinois Nonfamily Households,Chicago Metro Households,Chicago Metro Families,Chicago Metro Married-couple Households,Chicago Metro Nonfamily Households,Age,Texas Total,Texas Labor Force Participation,Texas Employment/Population Ratio,Texas Unemployment Rate,Houston Metro Total,Houston Metro Labor Force Participation,Houston Metro Employment/Population Ratio,Houston Metro Unemployment Rate,Label/Group,California Estimate,California Percent,Los Angeles City Estimate,Los Angeles City Percent,Housing Occupancy Status,Philadelphia Total Housing Units,Philadelphia % Housing Units,"Phoenix city, Arizona!!Estimate","Phoenix city, Arizona!!Percent"
,,,,,,,,,,,,,,,,,,,,,,,        Owner-occupied,"323,784",52.8%,,
,,,,,,,,,,,,,,,,,,,,,,,        Renter-occupied,"289,341",47.2%,,
,,,,,,,,,,,,,,,,,,,,,,,        Average household size of owner-occupied unit,2.64,(X),,
,,,,,,,,,,,,,,,,,,,,,,,        Average household size of renter-occupied unit,2.34,(X),,
,,,,,,,,,,,,,,,,,,,,,,,    Occupied housing units,"613,125","613,125",,
,,,,,,,,,,,,,,,,,,,,,,,        Moved in 2019 or later,"31,880",5.2%,,
,,,,,,,,,,,,,,,,,,,,,,,        Moved in 2015 to 2018,"180,983",29.5%,,
,,,,,,,,,,,,,,,,,,,,,,,        Moved in 2010 to 2014,"113,364",18.5%,,
,,,,,,,,,,,,,,,,,,,,,,,        Moved in 2000 to 2009,"121,109",19.8%,,
,,,,,,,,,,,,,,,,,,,,,,,        Moved in 1990 to 1999,"65,872",10.7%,,
,,,,,,,,,,,,,,,,,,,,,,,        Moved in 1989 and earlier,"99,917",16.3%,,
,,,,,,,,,,,,,,,,,,,,,,,    Occupied housing units,"613,125","613,125",,
,,,,,,,,,,,,,,,,,,,,,,,        No vehicles available,"176,020",28.7%,,
,,,,,,,,,,,,,,,,,,,,,,,        1 vehicle available,"273,668",44.6%,,
,,,,,,,,,,,,,,,,,,,,,,,        2 vehicles available,"126,268",20.6%,,
,,,,,,,,,,,,,,,,,,,,,,,        3 or more vehicles available,"37,169",6.1%,,
,,,,,,,,,,,,,,,,,,,,,,,    Occupied housing units,"613,125","613,125",,
,,,,,,,,,,,,,,,,,,,,,,,        Utility gas,"443,652",72.4%,,
,,,,,,,,,,,,,,,,,,,,,,,"        Bottled, tank, or LP gas","7,588",1.2%,,
,,,,,,,,,,,,,,,,,,,,,,,        Electricity,"133,767",21.8%,,
,,,,,,,,,,,,,,,,,,,,,,,"        Fuel oil, kerosene, etc.","21,019",3.4%,,
,,,,,,,,,,,,,,,,,,,,,,,        Coal or coke,315,0.1%,,
,,,,,,,,,,,,,,,,,,,,,,,        Wood,751,0.1%,,
,,,,,,,,,,,,,,,,,,,,,,,        Solar energy,175,0.0%,,
,,,,,,,,,,,,,,,,,,,,,,,        Other fuel,"1,706",0.3%,,
,,,,,,,,,,,,,,,,,,,,,,,        No fuel used,"4,152",0.7%,,
,,,,,,,,,,,,,,,,,,,,,,,    Occupied housing units,"613,125","613,125",,
,,,,,,,,,,,,,,,,,,,,,,,        Lacking complete plumbing facilities,"2,398",0.4%,,
,,,,,,,,,,,,,,,,,,,,,,,        Lacking complete kitchen facilities,"5,391",0.9%,,
,,,,,,,,,,,,,,,,,,,,,,,        No telephone service available,"11,459",1.9%,,
,,,,,,,,,,,,,,,,,,,,,,,    Occupied housing units,"613,125","613,125",,
,,,,,,,,,,,,,,,,,,,,,,,        1.00 or less,"596,207",97.2%,,
,,,,,,,,,,,,,,,,,,,,,,,        1.01 to 1.50,"10,428",1.7%,,
,,,,,,,,,,,,,,,,,,,,,,,        1.51 or more,"6,490",1.1%,,
,,,,,,,,,,,,,,,,,,,,,,,    Owner-occupied units,"323,784","323,784",,
,,,,,,,,,,,,,,,,,,,,,,,"        Less than $50,000","19,363",6.0%,,
,,,,,,,,,,,,,,,,,,,,,,,"        $50,000 to $99,999","57,984",17.9%,,
,,,,,,,,,,,,,,,,,,,,,,,"        $100,000 to $149,999","56,629",17.5%,,
,,,,,,,,,,,,,,,,,,,,,,,"        $150,000 to $199,999","56,890",17.6%,,
,,,,,,,,,,,,,,,,,,,,,,,"        $200,000 to $299,999","69,131",21.4%,,
,,,,,,,,,,,,,,,,,,,,,,,"        $300,000 to $499,999","40,566",12.5%,,
,,,,,,,,,,,,,,,,,,,,,,,"        $500,000 to $999,999","19,037",5.9%,,
,,,,,,,,,,,,,,,,,,,,,,,"        $1,000,000 or more","4,184",1.3%,,
,,,,,,,,,,,,,,,,,,,,,,,        Median (dollars),"171,600",(X),,
,,,,,,,,,,,,,,,,,,,,,,,    Owner-occupied units,"323,784","323,784",,
,,,,,,,,,,,,,,,,,,,,,,,        Housing units with a mortgage,"194,603",60.1%,,
,,,,,,,,,,,,,,,,,,,,,,,        Housing units without a mortgage,"129,181",39.9%,,
,,,,,,,,,,,,,,,,,,,,,,,    Housing units with a mortgage,"194,603","194,603",,
,,,,,,,,,,,,,,,,,,,,,,,        Less than $500,"3,572",1.8%,,
,,,,,,,,,,,,,,,,,,,,,,,        $500 to $999,"48,338",24.8%,,
,,,,,,,,,,,,,,,,,,,,,,,"        $1,000 to $1,499","64,577",33.2%,,
,,,,,,,,,,,,,,,,,,,,,,,"        $1,500 to $1,999","39,708",20.4%,,
,,,,,,,,,,,,,,,,,,,,,,,"        $2,000 to $2,499","18,180",9.3%,,
,,,,,,,,,,,,,,,,,,,,,,,"        $2,500 to $2,999","8,598",4.4%,,
,,,,,,,,,,,,,,,,,,,,,,,"        $3,000 or more","11,630",6.0%,,
,,,,,,,,,,,,,,,,,,,,,,,        Median (dollars),"1,343",(X),,
,,,,,,,,,,,,,,,,,,,,,,,    Housing units without a mortgage,"129,181","129,181",,
,,,,,,,,,,,,,,,,,,,,,,,        Less than $250,"14,167",11.0%,,
,,,,,,,,,,,,,,,,,,,,,,,        $250 to $399,"33,684",26.1%,,
,,,,,,,,,,,,,,,,,,,,,,,        $400 to $599,"46,461",36.0%,,
,,,,,,,,,,,,,,,,,,,,,,,        $600 to $799,"19,253",14.9%,,
,,,,,,,,,,,,,,,,,,,,,,,        $800 to $999,"7,319",5.7%,,
,,,,,,,,,,,,,,,,,,,,,,,"        $1,000 or more","8,297",6.4%,,
,,,,,,,,,,,,,,,,,,,,,,,        Median (dollars),466,(X),,
,,,,,,,,,,,,,,,,,,,,,,,    Housing units with a mortgage (excluding units where SMOCAPI cannot be computed),"192,183","192,183",,
,,,,,,,,,,,,,,,,,,,,,,,        Less than 20.0 percent,"86,937",45.2%,,
,,,,,,,,,,,,,,,,,,,,,,,        20.0 to 24.9 percent,"25,110",13.1%,,
,,,,,,,,,,,,,,,,,,,,,,,        25.0 to 29.9 percent,"17,428",9.1%,,
,,,,,,,,,,,,,,,,,,,,,,,        30.0 to 34.9 percent,"12,429",6.5%,,
,,,,,,,,,,,,,,,,,,,,,,,        35.0 percent or more,"50,279",26.2%,,
,,,,,,,,,,,,,,,,,,,,,,,        Not computed,"2,420",(X),,
,,,,,,,,,,,,,,,,,,,,,,,    Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed),"125,583","125,583",,
,,,,,,,,,,,,,,,,,,,,,,,        Less than 10.0 percent,"48,013",38.2%,,
,,,,,,,,,,,,,,,,,,,,,,,        10.0 to 14.9 percent,"22,213",17.7%,,
,,,,,,,,,,,,,,,,,,,,,,,        15.0 to 19.9 percent,"14,549",11.6%,,
,,,,,,,,,,,,,,,,,,,,,,,        20.0 to 24.9 percent,"10,850",8.6%,,
,,,,,,,,,,,,,,,,,,,,,,,        25.0 to 29.9 percent,"7,157",5.7%,,
,,,,,,,,,,,,,,,,,,,,,,,        30.0 to 34.9 percent,"4,834",3.8%,,
,,,,,,,,,,,,,,,,,,,,,,,        35.0 percent or more,"17,967",14.3%,,
,,,,,,,,,,,,,,,,,,,,,,,        Not computed,"3,598",(X),,
,,,,,,,,,,,,,,,,,,,,,,,    Occupied units paying rent,"277,864","277,864",,
,,,,,,,,,,,,,,,,,,,,,,,        Less than $500,"27,524",9.9%,,
,,,,,,,,,,,,,,,,,,,,,,,        $500 to $999,"91,436",32.9%,,
,,,,,,,,,,,,,,,,,,,,,,,"        $1,000 to $1,499","101,290",36.5%,,
,,,,,,,,,,,,,,,,,,,,,,,"        $1,500 to $1,999","35,700",12.8%,,
,,,,,,,,,,,,,,,,,,,,,,,"        $2,000 to $2,499","13,368",4.8%,,
,,,,,,,,,,,,,,,,,,,,,,,"        $2,500 to $2,999","4,544",1.6%,,
,,,,,,,,,,,,,,,,,,,,,,,"        $3,000 or more","4,002",1.4%,,
,,,,,,,,,,,,,,,,,,,,,,,        Median (dollars),"1,084",(X),,
,,,,,,,,,,,,,,,,,,,,,,,        No rent paid,"11,477",(X),,
,,,,,,,,,,,,,,,,,,,,,,,    Occupied units paying rent (excluding units where GRAPI cannot be computed),"266,770","266,770",,
,,,,,,,,,,,,,,,,,,,,,,,        Less than 15.0 percent,"32,241",12.1%,,
,,,,,,,,,,,,,,,,,,,,,,,        15.0 to 19.9 percent,"34,411",12.9%,,
,,,,,,,,,,,,,,,,,,,,,,,        20.0 to 24.9 percent,"31,017",11.6%,,
,,,,,,,,,,,,,,,,,,,,,,,        25.0 to 29.9 percent,"29,820",11.2%,,
,,,,,,,,,,,,,,,,,,,,,,,        30.0 to 34.9 percent,"22,907",8.6%,,
,,,,,,,,,,,,,,,,,,,,,,,        35.0 percent or more,"116,374",43.6%,,
,,,,,,,,,,,,,,,,,,,,,,,        Not computed,"22,571",(X),,
,,,,,,,,,,,,,,,,,,,,,,,    Total housing units,,,"667,691","667,691"
,,,,,,,,,,,,,,,,,,,,,,,        Occupied housing units,,,"621,234",93.0%
,,,,,,,,,,,,,,,,,,,,,,,        Vacant housing units,,,"46,457",7.0%
,,,,,,,,,,,,,,,,,,,,,,,        Homeowner vacancy rate,,,0.8,(X)
,,,,,,,,,,,,,,,,,,,,,,,        Rental vacancy rate,,,5.6,(X)
,,,,,,,,,,,,,,,,,,,,,,,    Total housing units,,,"667,691","667,691"
,,,,,,,,,,,,,,,,,,,,,,,"        1-unit, detached",,,"397,076",59.5%
,,,,,,,,,,,,,,,,,,,,,,,"        1-unit, attached",,,"32,201",4.8%
,,,,,,,,,,,,,,,,,,,,,,,        2 units,,,"10,777",1.6%
,,,,,,,,,,,,,,,,,,,,,,,        3 or 4 units,,,"32,064",4.8%
,,,,,,,,,,,,,,,,,,,,,,,        5 to 9 units,,,"30,925",4.6%
,,,,,,,,,,,,,,,,,,,,,,,        10 to 19 units,,,"34,236",5.1%
,,,,,,,,,,,,,,,,,,,,,,,        20 or more units,,,"113,678",17.0%
,,,,,,,,,,,,,,,,,,,,,,,        Mobile home,,,"16,141",2.4%
,,,,,,,,,,,,,,,,,,,,,,,"        Boat, RV, van, etc.",,,593,0.1%
,,,,,,,,,,,,,,,,,,,,,,,    Total housing units,,,"667,691","667,691"
,,,,,,,,,,,,,,,,,,,,,,,        Built 2020 or later,,,"19,653",2.9%
,,,,,,,,,,,,,,,,,,,,,,,        Built 2010 to 2019,,,"69,052",10.3%
,,,,,,,,,,,,,,,,,,,,,,,        Built 2000 to 2009,,,"115,913",17.4%
,,,,,,,,,,,,,,,,,,,,,,,        Built 1990 to 1999,,,"85,605",12.8%
,,,,,,,,,,,,,,,,,,,,,,,        Built 1980 to 1989,,,"110,318",16.5%
,,,,,,,,,,,,,,,,,,,,,,,        Built 1970 to 1979,,,"114,553",17.2%
,,,,,,,,,,,,,,,,,,,,,,,        Built 1960 to 1969,,,"57,443",8.6%
,,,,,,,,,,,,,,,,,,,,,,,        Built 1950 to 1959,,,"62,528",9.4%
,,,,,,,,,,,,,,,,,,,,,,,        Built 1940 to 1949,,,"18,785",2.8%
,,,,,,,,,,,,,,,,,,,,,,,        Built 1939 or earlier,,,"13,841",2.1%
,,,,,,,,,,,,,,,,,,,,,,,    Total housing units,,,"667,691","667,691"
,,,,,,,,,,,,,,,,,,,,,,,        1 room,,,"27,031",4.0%
,,,,,,,,,,,,,,,,,,,,,,,        2 rooms,,,"37,114",5.6%
,,,,,,,,,,,,,,,,,,,,,,,        3 rooms,,,"84,633",12.7%
,,,,,,,,,,,,,,,,,,,,,,,        4 rooms,,,"112,783",16.9%
,,,,,,,,,,,,,,,,,,,,,,,        5 rooms,,,"126,532",19.0%
,,,,,,,,,,,,,,,,,,,,,,,        6 rooms,,,"107,646",16.1%
,,,,,,,,,,,,,,,,,,,,,,,        7 rooms,,,"75,698",11.3%
,,,,,,,,,,,,,,,,,,,,,,,        8 rooms,,,"47,207",7.1%
,,,,,,,,,,,,,,,,,,,,,,,        9 rooms or more,,,"49,047",7.3%
,,,,,,,,,,,,,,,,,,,,,,,        Median rooms,,,5.1,(X)
,,,,,,,,,,,,,,,,,,,,,,,    Total housing units,,,"667,691","667,691"
,,,,,,,,,,,,,,,,,,,,,,,        No bedroom,,,"31,082",4.7%
,,,,,,,,,,,,,,,,,,,,,,,        1 bedroom,,,"95,200",14.3%
,,,,,,,,,,,,,,,,,,,,,,,        2 bedrooms,,,"156,556",23.4%
,,,,,,,,,,,,,,,,,,,,,,,        3 bedrooms,,,"227,498",34.1%
,,,,,,,,,,,,,,,,,,,,,,,        4 bedrooms,,,"132,600",19.9%
,,,,,,,,,,,,,,,,,,,,,,,        5 or more bedrooms,,,"24,755",3.7%
,,,,,,,,,,,,,,,,,,,,,,,    Occupied housing units,,,"621,234","621,234"
,,,,,,,,,,,,,,,,,,,,,,,        Owner-occupied,,,"348,899",56.2%
,,,,,,,,,,,,,,,,,,,,,,,        Renter-occupied,,,"272,335",43.8%
,,,,,,,,,,,,,,,,,,,,,,,        Average household size of owner-occupied unit,,,2.77,(X)
,,,,,,,,,,,,,,,,,,,,,,,        Average household size of renter-occupied unit,,,2.40,(X)
,,,,,,,,,,,,,,,,,,,,,,,    Occupied housing units,,,"621,234","621,234"
,,,,,,,,,,,,,,,,,,,,,,,        Moved in 2021 or later,,,"199,548",32.1%
,,,,,,,,,,,,,,,,,,,,,,,        Moved in 2018 to 2020,,,"126,074",20.3%
,,,,,,,,,,,,,,,,,,,,,,,        Moved in 2010 to 2017,,,"146,377",23.6%
,,,,,,,,,,,,,,,,,,,,,,,        Moved in 2000 to 2009,,,"77,320",12.4%
,,,,,,,,,,,,,,,,,,,,,,,        Moved in 1990 to 1999,,,"42,252",6.8%
,,,,,,,,,,,,,,,,,,,,,,,        Moved in 1989 and earlier,,,"29,663",4.8%
,,,,,,,,,,,,,,,,,,,,,,,    Occupied housing units,,,"621,234","621,234"
,,,,,,,,,,,,,,,,,,,,,,,        No vehicles available,,,"40,822",6.6%
,,,,,,,,,,,,,,,,,,,,,,,        1 vehicle available,,,"220,568",35.5%
,,,,,,,,,,,,,,,,,,,,,,,        2 vehicles available,,,"226,439",36.4%
,,,,,,,,,,,,,,,,,,,,,,,        3 or more vehicles available,,,"133,405",21.5%
,,,,,,,,,,,,,,,,,,,,,,,    Occupied housing units,,,"621,234","621,234"
,,,,,,,,,,,,,,,,,,,,,,,        Utility gas,,,"141,718",22.8%
,,,,,,,,,,,,,,,,,,,,,,,"        Bottled, tank, or LP gas",,,"8,156",1.3%
,,,,,,,,,,,,,,,,,,,,,,,        Electricity,,,"454,137",73.1%
,,,,,,,,,,,,,,,,,,,,,,,"        Fuel oil, kerosene, etc.",,,508,0.1%
,,,,,,,,,,,,,,,,,,,,,,,        Coal or coke,,,407,0.1%
,,,,,,,,,,,,,,,,,,,,,,,        Wood,,,610,0.1%
,,,,,,,,,,,,,,,,,,,,,,,        Solar energy,,,"6,489",1.0%
,,,,,,,,,,,,,,,,,,,,,,,        Other fuel,,,458,0.1%
,,,,,,,,,,,,,,,,,,,,,,,        No fuel used,,,"8,751",1.4%
,,,,,,,,,,,,,,,,,,,,,,,    Occupied housing units,,,"621,234","621,234"
,,,,,,,,,,,,,,,,,,,,,,,        Lacking complete plumbing facilities,,,"5,597",0.9%
,,,,,,,,,,,,,,,,,,,,,,,        Lacking complete kitchen facilities,,,"5,408",0.9%
,,,,,,,,,,,,,,,,,,,,,,,        No telephone service available,,,"10,297",1.7%
,,,,,,,,,,,,,,,,,,,,,,,    Occupied housing units,,,"621,234","621,234"
,,,,,,,,,,,,,,,,,,,,,,,        1.00 or less,,,"582,892",93.8%
,,,,,,,,,,,,,,,,,,,,,,,        1.01 to 1.50,,,"25,361",4.1%
,,,,,,,,,,,,,,,,,,,,,,,        1.51 or more,,,"12,981",2.1%
,,,,,,,,,,,,,,,,,,,,,,,    Owner-occupied units,,,"348,899","348,899"
,,,,,,,,,,,,,,,,,,,,,,,"        Less than $50,000",,,"14,781",4.2%
,,,,,,,,,,,,,,,,,,,,,,,"        $50,000 to $99,999",,,"5,001",1.4%
,,,,,,,,,,,,,,,,,,,,,,,"        $100,000 to $149,999",,,"3,298",0.9%
,,,,,,,,,,,,,,,,,,,,,,,"        $150,000 to $199,999",,,"5,881",1.7%
,,,,,,,,,,,,,,,,,,,,,,,"        $200,000 to $299,999",,,"34,226",9.8%
,,,,,,,,,,,,,,,,,,,,,,,"        $300,000 to $499,999",,,"152,493",43.7%
,,,,,,,,,,,,,,,,,,,,,,,"        $500,000 to $999,999",,,"110,490",31.7%
,,,,,,,,,,,,,,,,,,,,,,,"        $1,000,000 or more",,,"22,729",6.5%
,,,,,,,,,,,,,,,,,,,,,,,        Median (dollars),,,"441,300",(X)
,,,,,,,,,,,,,,,,,,,,,,,    Owner-occupied units,,,"348,899","348,899"
,,,,,,,,,,,,,,,,,,,,,,,        Housing units with a mortgage,,,"231,700",66.4%
,,,,,,,,,,,,,,,,,,,,,,,        Housing units without a mortgage,,,"117,199",33.6%
,,,,,,,,,,,,,,,,,,,,,,,    Housing units with a mortgage,,,"231,700","231,700"
,,,,,,,,,,,,,,,,,,,,,,,        Less than $500,,,"1,763",0.8%
,,,,,,,,,,,,,,,,,,,,,,,        $500 to $999,,,"19,774",8.5%
,,,,,,,,,,,,,,,,,,,,,,,"        $1,000 to $1,499",,,"55,569",24.0%
,,,,,,,,,,,,,,,,,,,,,,,"        $1,500 to $1,999",,,"62,888",27.1%
,,,,,,,,,,,,,,,,,,,,,,,"        $2,000 to $2,499",,,"40,975",17.7%
,,,,,,,,,,,,,,,,,,,,,,,"        $2,500 to $2,999",,,"20,242",8.7%
,,,,,,,,,,,,,,,,,,,,,,,"        $3,000 or more",,,"30,489",13.2%
,,,,,,,,,,,,,,,,,,,,,,,        Median (dollars),,,"1,795",(X)
,,,,,,,,,,,,,,,,,,,,,,,    Housing units without a mortgage,,,"117,199","117,199"
,,,,,,,,,,,,,,,,,,,,,,,        Less than $250,,,"8,113",6.9%
,,,,,,,,,,,,,,,,,,,,,,,        $250 to $399,,,"27,825",23.7%
,,,,,,,,,,,,,,,,,,,,,,,        $400 to $599,,,"34,993",29.9%
,,,,,,,,,,,,,,,,,,,,,,,        $600 to $799,,,"22,871",19.5%
,,,,,,,,,,,,,,,,,,,,,,,        $800 to $999,,,"10,428",8.9%
,,,,,,,,,,,,,,,,,,,,,,,"        $1,000 or more",,,"12,969",11.1%
,,,,,,,,,,,,,,,,,,,,,,,        Median (dollars),,,523,(X)
,,,,,,,,,,,,,,,,,,,,,,,    Housing units with a mortgage (excluding units where SMOCAPI cannot be computed),,,"229,220","229,220"
,,,,,,,,,,,,,,,,,,,,,,,        Less than 20.0 percent,,,"121,589",53.0%
,,,,,,,,,,,,,,,,,,,,,,,        20.0 to 24.9 percent,,,"33,158",14.5%
,,,,,,,,,,,,,,,,,,,,,,,        25.0 to 29.9 percent,,,"18,177",7.9%
,,,,,,,,,,,,,,,,,,,,,,,        30.0 to 34.9 percent,,,"14,073",6.1%
,,,,,,,,,,,,,,,,,,,,,,,        35.0 percent or more,,,"42,223",18.4%
,,,,,,,,,,,,,,,,,,,,,,,        Not computed,,,"2,480",(X)
,,,,,,,,,,,,,,,,,,,,,,,    Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed),,,"115,440","115,440"
,,,,,,,,,,,,,,,,,,,,,,,        Less than 10.0 percent,,,"65,353",56.6%
,,,,,,,,,,,,,,,,,,,,,,,        10.0 to 14.9 percent,,,"17,237",14.9%
,,,,,,,,,,,,,,,,,,,,,,,        15.0 to 19.9 percent,,,"9,366",8.1%
,,,,,,,,,,,,,,,,,,,,,,,        20.0 to 24.9 percent,,,"5,633",4.9%
,,,,,,,,,,,,,,,,,,,,,,,        25.0 to 29.9 percent,,,"3,239",2.8%
,,,,,,,,,,,,,,,,,,,,,,,        30.0 to 34.9 percent,,,"3,230",2.8%
,,,,,,,,,,,,,,,,,,,,,,,        35.0 percent or more,,,"11,382",9.9%
,,,,,,,,,,,,,,,,,,,,,,,        Not computed,,,"1,759",(X)
,,,,,,,,,,,,,,,,,,,,,,,    Occupied units paying rent,,,"266,211","266,211"
,,,,,,,,,,,,,,,,,,,,,,,        Less than $500,,,"10,185",3.8%
,,,,,,,,,,,,,,,,,,,,,,,        $500 to $999,,,"24,188",9.1%
,,,,,,,,,,,,,,,,,,,,,,,"        $1,000 to $1,499",,,"71,057",26.7%
,,,,,,,,,,,,,,,,,,,,,,,"        $1,500 to $1,999",,,"89,269",33.5%
,,,,,,,,,,,,,,,,,,,,,,,"        $2,000 to $2,499",,,"42,705",16.0%
,,,,,,,,,,,,,,,,,,,,,,,"        $2,500 to $2,999",,,"19,494",7.3%
,,,,,,,,,,,,,,,,,,,,,,,"        $3,000 or more",,,"9,313",3.5%
,,,,,,,,,,,,,,,,,,,,,,,        Median (dollars),,,"1,655",(X)
,,,,,,,,,,,,,,,,,,,,,,,        No rent paid,,,"6,124",(X)
,,,,,,,,,,,,,,,,,,,,,,,    Occupied units paying rent (excluding units where GRAPI cannot be computed),,,"257,803","257,803"
,,,,,,,,,,,,,,,,,,,,,,,        Less than 15.0 percent,,,"26,923",10.4%
,,,,,,,,,,,,,,,,,,,,,,,        15.0 to 19.9 percent,,,"25,973",10.1%
,,,,,,,,,,,,,,,,,,,,,,,        20.0 to 24.9 percent,,,"32,923",12.8%
,,,,,,,,,,,,,,,,,,,,,,,        25.0 to 29.9 percent,,,"30,724",11.9%
,,,,,,,,,,,,,,,,,,,,,,,        30.0 to 34.9 percent,,,"25,037",9.7%
,,,,,,,,,,,,,,,,,,,,,,,        35.0 percent or more,,,"116,223",45.1%
,,,,,,,,,,,,,,,,,,,,,,,        Not computed,,,"14,532",(X)
